iter	Passed	Remaining
406	6562	41808
407	6577	41789
408	6594	41777
409	6609	41752
410	6623	41722
411	6639	41703
412	6654	41684
413	6669	41663
414	6684	41640
415	6699	41612
416	6714	41593
417	6730	41577
418	6746	41555
419	6762	41538
420	6778	41525
421	6794	41509
422	6808	41480
423	6823	41455
424	6840	41444
425	6856	41430
426	6871	41404
427	6887	41392
428	6902	41364
429	6917	41341
430	6932	41319
431	6948	41303
432	6963	41285
433	6981	41275
434	6995	41249
435	7010	41225
436	7025	41203
437	7040	41180
438	7055	41157
439	7071	41141
440	7084	41112
441	7099	41088
442	7116	41075
443	7130	41049
444	7145	41028
445	7160	41004
446	7174	40977
447	7191	40963
448	7207	40947
449	7222	40925
450	7238	40911
451	7254	40892
452	7270	40878
453	7286	40859
454	7303	40850
455	7322	40851
456	7338	40834
457	7354	40818
458	7370	40800
459	7387	40790
460	7402	40768
461	7416	40743
462	7432	40724
463	7446	40700
464	7462	40680
465	7477	40662
466	7495	40652
467	7511	40639
468	7528	40626
469	7544	40609
470	7558	40586
471	7573	40563
472	7588	40542
473	7602	40515
474	7618	40500
475	7634	40481
476	7651	40469
477	7666	40447
478	7681	40430
479	7697	40412
480	7710	40381
481	7728	40374
482	7744	40359
483	7758	40328
484	7772	40305
485	7786	40278
486	7800	40253
487	7817	40239
488	7832	40221
489	7845	40187
490	7860	40166
491	7873	40137
492	7889	40118
493	7904	40100
494	7919	40075
495	7935	40060
496	7950	40042
497	7967	40027
498	7981	40002
499	7997	39986
500	8010	39957
501	8028	39951
502	8042	39926
503	8058	39906
504	8071	39879
505	8089	39871
506	8104	39851
507	8121	39840
508	8136	39820
509	8151	39797
510	8167	39781
511	8182	39761
512	8197	39743
513	8213	39726
514	8229	39710
515	8245	39695
516	8260	39671
517	8276	39656
518	8291	39638
519	8307	39621
520	8322	39600
521	8339	39590
522	8355	39574
523	8371	39556
524	8385	39532
525	8401	39514
526	8415	39489
527	8429	39467
528	8445	39449
529	8462	39436
530	8478	39421
531	8494	39406
532	8510	39391
533	8525	39372
534	8542	39360
535	8558	39343
536	8572	39320
537	8587	39299
538	8604	39285
539	8619	39266
540	8634	39246
541	8652	39237
542	8668	39224
543	8684	39206
544	8700	39193
545	8717	39181
546	8732	39158
547	8749	39147
548	8764	39128
549	8780	39110
550	8795	39093
551	8810	39073
552	8827	39059
553	8843	39043
554	8860	39034
555	8875	39013
556	8891	38998
557	8906	38979
558	8921	38956
559	8936	38937
560	8953	38924
561	8969	38908
562	8985	38895
563	8999	38870
564	9015	38854
565	9031	38840
566	9047	38822
567	9062	38803
568	9078	38787
569	9093	38765
570	9108	38748
571	9124	38733
572	9141	38717
573	9157	38703
574	9173	38688
575	9189	38674
576	9205	38657
577	9227	38664
578	9253	38691
579	9268	38670
580	9285	38661
581	9306	38666
582	9331	38686
583	9353	38694
584	9368	38677
585	9382	38652
586	9399	38640
587	9414	38620
588	9431	38605
589	9446	38585
590	9461	38565
591	9475	38543
592	9490	38523
593	9505	38500
594	9522	38488
595	9538	38473
596	9552	38450
597	9569	38437
598	9583	38414
599	9598	38393
600	9614	38376
601	9661	38483
602	9677	38470
603	9692	38447
604	9706	38424
605	9725	38419
606	9739	38395
607	9755	38379
608	9770	38361
609	9787	38346
610	9799	38314
611	9813	38290
612	9827	38269
613	9842	38248
614	9857	38229
615	9873	38213
616	9888	38193
617	9903	38173
618	9918	38153
619	9936	38141
620	9951	38122
621	9967	38108
622	9983	38090
623	9998	38072
624	10014	38056
625	10030	38038
626	10045	38017
627	10062	38006
628	10076	37983
629	10091	37963
630	10107	37946
631	10123	37932
632	10139	37915
633	10155	37900
634	10171	37881
635	10187	37865
636	10203	37850
637	10217	37827
638	10234	37815
639	10249	37796
640	10264	37775
641	10280	37759
642	10293	37731
643	10308	37712
644	10326	37702
645	10341	37683
646	10358	37670
647	10373	37652
648	10389	37637
649	10404	37617
650	10419	37594
651	10434	37578
652	10450	37559
653	10465	37540
654	10481	37526
655	10496	37507
656	10514	37498
657	10529	37477
658	10544	37457
659	10559	37439
660	10575	37422
661	10592	37411
662	10609	37397
663	10626	37385
664	10641	37364
665	10656	37344
666	10673	37332
667	10688	37312
668	10703	37293
669	10719	37279
670	10736	37265
671	10750	37242
672	10767	37228
673	10784	37216
674	10799	37197
675	10814	37179
676	10830	37163
677	10848	37152
678	10864	37138
679	10879	37118
680	10896	37104
681	10910	37082
682	10925	37062
683	10941	37046
684	10958	37034
685	10974	37019
686	10991	37007
687	11007	36990
688	11022	36972
689	11038	36956
690	11052	36933
691	11070	36922
692	11086	36905
693	11101	36887
694	11117	36872
695	11134	36857
696	11148	36836
697	11164	36821
698	11181	36806
699	11196	36789
700	11211	36769
701	11227	36752
702	11241	36729
703	11255	36709
704	11272	36696
705	11289	36683
706	11304	36663
707	11321	36649
708	11337	36634
709	11350	36609
710	11368	36598
711	11383	36580
712	11400	36568
713	11416	36550
714	11432	36536
715	11448	36520
716	11462	36496
717	11478	36482
718	11494	36466
719	11511	36453
720	11526	36433
721	11542	36419
722	11559	36404
723	11575	36388
724	11590	36371
725	11606	36355
726	11622	36337
727	11639	36325
728	11655	36310
729	11670	36290
730	11685	36272
731	11702	36259
732	11718	36242
733	11732	36220
734	11748	36203
735	11764	36187
736	11780	36172
737	11796	36157
738	11813	36143
739	11829	36127
740	11847	36117
741	11862	36100
742	11878	36084
743	11895	36069
744	11910	36052
745	11927	36039
746	11942	36020
747	11958	36004
748	11974	35987
749	11990	35971
750	12006	35955
751	12020	35933
752	12036	35918
753	12051	35899
754	12066	35881
755	12082	35864
756	12097	35846
757	12112	35827
758	12129	35813
759	12145	35796
760	12160	35778
761	12176	35762
762	12192	35747
763	12207	35728
764	12224	35715
765	12240	35698
766	12255	35680
767	12269	35658
768	12287	35646
769	12304	35634
770	12319	35616
771	12336	35602
772	12352	35587
773	12367	35568
774	12383	35551
775	12397	35529
776	12412	35512
777	12429	35499
778	12446	35486
779	12460	35463
780	12475	35444
781	12491	35430
782	12507	35414
783	12524	35400
784	12538	35378
785	12554	35362
786	12570	35347
787	12585	35329
788	12599	35306
789	12614	35289
790	12630	35272
791	12646	35257
792	12660	35235
793	12676	35218
794	12690	35198
795	12706	35183
796	12724	35171
797	12737	35149
798	12752	35129
799	12767	35111
800	12780	35087
801	12798	35076
802	12816	35065
803	12830	35045
804	12847	35030
805	12862	35012
806	12875	34988
807	12890	34969
808	12906	34954
809	12922	34939
810	12939	34925
811	12955	34908
812	12970	34890
813	12984	34871
814	12999	34851
815	13015	34835
816	13032	34821
817	13049	34809
818	13066	34796
819	13082	34779
820	13099	34765
821	13115	34751
822	13130	34732
823	13145	34713
824	13162	34701
825	13179	34686
826	13192	34663
827	13208	34647
828	13223	34630
829	13239	34613
830	13255	34597
831	13270	34579
832	13285	34561
833	13299	34541
834	13316	34527
835	13331	34509
836	13346	34490
837	13362	34474
838	13376	34454
839	13391	34435
840	13408	34421
841	13421	34398
842	13438	34384
843	13453	34368
844	13468	34349
845	13484	34331
846	13498	34311
847	13514	34295
848	13530	34279
849	13547	34266
850	13562	34249
851	13577	34230
852	13592	34212
853	13606	34191
854	13622	34175
855	13637	34156
856	13653	34140
857	13669	34125
858	13682	34103
859	13697	34083
860	13710	34062
861	13725	34042
862	13741	34026
863	13755	34005
864	13769	33985
865	13783	33966
866	13799	33950
867	13814	33930
868	13828	33911
869	13842	33890
870	13858	33875
871	13875	33862
872	13890	33844
873	13906	33827
874	13921	33808
875	13935	33787
876	13949	33768
877	13964	33751
878	13978	33729
879	13993	33712
880	14008	33692
881	14021	33671
882	14037	33654
883	14051	33634
884	14066	33616
885	14083	33604
886	14099	33587
887	14115	33573
888	14131	33555
889	14149	33544
890	14164	33526
891	14179	33509
892	14193	33489
893	14210	33474
894	14225	33456
895	14241	33441
896	14254	33419
897	14269	33401
898	14287	33390
899	14301	33369
900	14319	33358
901	14334	33340
902	14348	33321
903	14364	33305
904	14378	33285
905	14397	33275
906	14411	33254
907	14427	33241
908	14443	33224
909	14458	33207
910	14474	33191
911	14490	33174
912	14506	33159
913	14521	33142
914	14538	33127
915	14552	33108
916	14565	33086
917	14580	33067
918	14596	33052
919	14612	33036
920	14627	33020
921	14643	33003
922	14659	32988
923	14676	32973
924	14691	32956
925	14706	32938
926	14723	32924
927	14740	32911
928	14757	32898
929	14774	32884
930	14790	32869
931	14807	32856
932	14821	32835
933	14837	32820
934	14853	32804
935	14870	32790
936	14886	32776
937	14902	32759
938	14916	32739
939	14932	32723
940	14947	32707
941	14962	32688
942	14977	32670
943	14993	32655
944	15009	32639
945	15023	32620
946	15040	32606
947	15056	32590
948	15073	32577
949	15088	32558
950	15104	32543
951	15120	32527
952	15136	32513
953	15152	32496
954	15165	32475
955	15181	32459
956	15197	32443
957	15211	32424
958	15228	32410
959	15244	32395
960	15262	32382
961	15276	32364
962	15292	32347
963	15308	32332
964	15325	32317
965	15341	32303
966	15358	32290
967	15373	32270
968	15386	32250
969	15402	32234
970	15417	32215
971	15432	32197
972	15449	32184
973	15463	32165
974	15477	32145
975	15493	32130
976	15508	32112
977	15524	32096
978	15539	32079
979	15554	32061
980	15569	32042
981	15585	32028
982	15601	32013
983	15616	31994
984	15630	31974
985	15644	31955
986	15661	31942
987	15677	31925
988	15691	31906
989	15707	31890
990	15722	31874
991	15737	31856
992	15752	31838
993	15769	31823
994	15784	31806
995	15801	31793
996	15818	31779
997	15834	31764
998	15850	31749
999	15865	31731
1000	15881	31715
1001	15898	31702
1002	15914	31686
1003	15928	31666
1004	15943	31649
1005	15958	31630
1006	15973	31613
1007	15989	31597
1008	16005	31582
1009	16021	31566
1010	16034	31545
1011	16048	31525
1012	16063	31508
1013	16078	31491
1014	16096	31479
1015	16112	31463
1016	16128	31448
1017	16145	31434
1018	16159	31415
1019	16176	31402
1020	16192	31385
1021	16206	31366
1022	16222	31351
1023	16238	31334
1024	16253	31317
1025	16269	31301
1026	16284	31285
1027	16301	31270
1028	16314	31250
1029	16329	31231
1030	16343	31213
1031	16360	31199
1032	16377	31184
1033	16391	31165
1034	16407	31149
1035	16423	31134
1036	16438	31117
1037	16453	31099
1038	16470	31085
1039	16486	31070
1040	16504	31058
1041	16521	31044
1042	16536	31027
1043	16551	31010
1044	16568	30996
1045	16584	30980
1046	16598	30961
1047	16614	30945
1048	16630	30931
1049	16646	30914
1050	16663	30901
1051	16681	30889
1052	16697	30873
1053	16714	30860
1054	16730	30844
1055	16747	30831
1056	16765	30818
1057	16780	30801
1058	16797	30788
1059	16813	30772
1060	16830	30758
1061	16847	30744
1062	16862	30727
1063	16878	30712
1064	16894	30694
1065	16909	30678
1066	16925	30662
1067	16941	30646
1068	16957	30631
1069	16972	30613
1070	16989	30600
1071	17006	30587
1072	17025	30575
1073	17041	30561
1074	17057	30543
1075	17073	30530
1076	17088	30511
1077	17105	30498
1078	17121	30482
1079	17136	30464
1080	17152	30449
1081	17168	30434
1082	17183	30416
1083	17197	30397
1084	17215	30384
1085	17230	30367
1086	17247	30353
1087	17262	30336
1088	17280	30323
1089	17294	30305
1090	17310	30289
1091	17327	30275
1092	17341	30256
1093	17358	30242
1094	17372	30223
1095	17388	30208
1096	17404	30192
1097	17420	30177
1098	17435	30159
1099	17450	30141
1100	17466	30126
1101	17483	30111
1102	17497	30093
1103	17513	30077
1104	17531	30064
1105	17546	30048
1106	17563	30034
1107	17578	30016
1108	17594	30000
1109	17611	29987
1110	17626	29969
1111	17643	29956
1112	17660	29942
1113	17675	29924
1114	17691	29909
1115	17705	29890
1116	17723	29878
1117	17739	29861
1118	17755	29846
1119	17773	29834
1120	17789	29817
1121	17805	29802
1122	17821	29786
1123	17835	29768
1124	17852	29754
1125	17868	29739
1126	17886	29725
1127	17901	29709
1128	17917	29693
1129	17934	29678
1130	17950	29663
1131	17965	29646
1132	17980	29628
1133	17995	29611
1134	18009	29592
1135	18023	29574
1136	18038	29556
1137	18053	29538
1138	18068	29521
1139	18082	29503
1140	18096	29484
1141	18113	29470
1142	18128	29452
1143	18145	29438
1144	18160	29421
1145	18176	29406
1146	18189	29385
1147	18205	29369
1148	18219	29351
1149	18233	29332
1150	18248	29315
1151	18263	29298
1152	18278	29279
1153	18293	29262
1154	18307	29245
1155	18322	29227
1156	18338	29211
1157	18353	29195
1158	18370	29180
1159	18386	29164
1160	18402	29149
1161	18418	29133
1162	18433	29117
1163	18449	29100
1164	18466	29085
1165	18482	29070
1166	18498	29054
1167	18512	29037
1168	18529	29022
1169	18546	29008
1170	18561	28991
1171	18577	28976
1172	18595	28962
1173	18608	28942
1174	18625	28929
1175	18640	28911
1176	18656	28895
1177	18672	28881
1178	18687	28863
1179	18704	28849
1180	18718	28831
1181	18734	28814
1182	18749	28798
1183	18764	28780
1184	18781	28765
1185	18797	28750
1186	18811	28732
1187	18829	28719
1188	18845	28703
1189	18859	28685
1190	18874	28667
1191	18889	28651
1192	18904	28633
1193	18917	28614
1194	18932	28596
1195	18946	28578
1196	18963	28563
1197	18978	28546
1198	18995	28532
1199	19009	28514
1200	19026	28499
1201	19044	28487
1202	19062	28475
1203	19078	28458
1204	19093	28442
1205	19110	28427
1206	19126	28412
1207	19143	28398
1208	19161	28384
1209	19178	28370
1210	19191	28352
1211	19208	28337
1212	19223	28319
1213	19239	28305
1214	19257	28292
1215	19273	28276
1216	19292	28264
1217	19307	28247
1218	19322	28230
1219	19339	28217
1220	19357	28204
1221	19374	28190
1222	19388	28170
1223	19401	28150
1224	19418	28136
1225	19433	28120
1226	19449	28104
1227	19464	28087
1228	19480	28071
1229	19495	28054
1230	19511	28038
1231	19526	28022
1232	19543	28006
1233	19558	27990
1234	19574	27975
1235	19591	27961
1236	19605	27941
1237	19620	27925
1238	19635	27907
1239	19650	27890
1240	19665	27874
1241	19681	27858
1242	19697	27842
1243	19712	27825
1244	19729	27812
1245	19744	27795
1246	19759	27777
1247	19775	27761
1248	19791	27746
1249	19807	27731
1250	19822	27713
1251	19836	27694
1252	19852	27680
1253	19868	27663
1254	19885	27649
1255	19904	27638
1256	19920	27621
1257	19934	27604
1258	19949	27587
1259	19963	27568
1260	19981	27555
1261	19995	27537
1262	20009	27519
1263	20024	27501
1264	20038	27484
1265	20052	27464
1266	20068	27449
1267	20086	27436
1268	20101	27420
1269	20117	27404
1270	20132	27387
1271	20148	27371
1272	20165	27357
1273	20180	27340
1274	20195	27323
1275	20210	27305
1276	20224	27287
1277	20239	27270
1278	20253	27253
1279	20269	27236
1280	20284	27220
1281	20301	27205
1282	20316	27188
1283	20333	27174
1284	20349	27159
1285	20364	27142
1286	20382	27128
1287	20397	27112
1288	20412	27095
1289	20425	27075
1290	20439	27057
1291	20457	27044
1292	20472	27027
1293	20486	27009
1294	20502	26993
1295	20515	26974
1296	20529	26956
1297	20544	26938
1298	20558	26920
1299	20575	26906
1300	20592	26891
1301	20608	26876
1302	20623	26859
1303	20639	26843
1304	20655	26828
1305	20671	26813
1306	20686	26796
1307	20704	26783
1308	20721	26768
1309	20738	26754
1310	20752	26736
1311	20766	26718
1312	20782	26702
1313	20799	26687
1314	20814	26671
1315	20830	26655
1316	20843	26636
1317	20859	26619
1318	20874	26603
1319	20889	26587
1320	20905	26570
1321	20921	26554
1322	20935	26537
1323	20952	26522
1324	20966	26505
1325	20984	26492
1326	21001	26477
1327	21017	26461
1328	21031	26443
1329	21047	26428
1330	21062	26411
1331	21077	26394
1332	21093	26379
1333	21109	26362
1334	21124	26346
1335	21139	26330
1336	21153	26311
1337	21168	26295
1338	21185	26279
1339	21201	26264
1340	21216	26248
1341	21230	26229
1342	21246	26213
1343	21262	26198
1344	21275	26179
1345	21290	26162
1346	21306	26147
1347	21322	26131
1348	21335	26112
1349	21349	26094
1350	21364	26076
1351	21379	26060
1352	21393	26042
1353	21406	26023
1354	21424	26010
1355	21439	25993
1356	21456	25978
1357	21473	25963
1358	21489	25948
1359	21504	25932
1360	21521	25917
1361	21536	25901
1362	21552	25885
1363	21569	25870
1364	21587	25857
1365	21601	25839
1366	21617	25823
1367	21633	25808
1368	21647	25790
1369	21663	25775
1370	21678	25757
1371	21691	25738
1372	21705	25721
1373	21720	25703
1374	21734	25686
1375	21750	25670
1376	21765	25653
1377	21779	25636
1378	21794	25619
1379	21807	25600
1380	21822	25583
1381	21838	25567
1382	21854	25551
1383	21870	25536
1384	21884	25519
1385	21901	25504
1386	21917	25488
1387	21933	25473
1388	21951	25459
1389	21966	25442
1390	21980	25425
1391	21996	25409
1392	22014	25396
1393	22028	25378
1394	22044	25363
1395	22059	25346
1396	22074	25329
1397	22092	25316
1398	22109	25301
1399	22123	25284
1400	22136	25264
1401	22152	25249
1402	22170	25236
1403	22184	25218
1404	22200	25202
1405	22216	25186
1406	22232	25171
1407	22248	25155
1408	22262	25137
1409	22277	25121
1410	22293	25105
1411	22307	25087
1412	22323	25071
1413	22338	25056
1414	22353	25039
1415	22370	25024
1416	22386	25009
1417	22401	24991
1418	22416	24975
1419	22433	24961
1420	22448	24944
1421	22463	24928
1422	22478	24911
1423	22493	24894
1424	22509	24878
1425	22524	24862
1426	22539	24845
1427	22556	24831
1428	22571	24814
1429	22586	24797
1430	22601	24781
1431	22616	24764
1432	22630	24746
1433	22645	24730
1434	22660	24713
1435	22675	24696
1436	22690	24680
1437	22708	24666
1438	22721	24647
1439	22735	24630
1440	22752	24616
1441	22766	24598
1442	22782	24582
1443	22797	24566
1444	22813	24549
1445	22826	24531
1446	22843	24516
1447	22859	24500
1448	22876	24486
1449	22892	24471
1450	22907	24454
1451	22921	24436
1452	22938	24422
1453	22954	24406
1454	22970	24391
1455	22985	24374
1456	22999	24356
1457	23014	24340
1458	23030	24325
1459	23046	24309
1460	23062	24293
1461	23079	24278
1462	23096	24264
1463	23110	24247
1464	23128	24233
1465	23143	24217
1466	23160	24202
1467	23173	24183
1468	23189	24168
1469	23205	24152
1470	23220	24136
1471	23236	24120
1472	23251	24104
1473	23266	24087
1474	23283	24072
1475	23299	24057
1476	23315	24041
1477	23331	24025
1478	23346	24009
1479	23362	23994
1480	23377	23977
1481	23393	23961
1482	23408	23945
1483	23423	23928
1484	23440	23913
1485	23454	23896
1486	23471	23882
1487	23485	23864
1488	23501	23848
1489	23516	23832
1490	23532	23816
1491	23549	23801
1492	23565	23786
1493	23580	23769
1494	23596	23754
1495	23610	23736
1496	23623	23718
1497	23641	23704
1498	23656	23687
1499	23673	23673
1500	23688	23657
1501	23706	23643
1502	23721	23626
1503	23736	23610
1504	23752	23594
1505	23768	23578
1506	23782	23561
1507	23797	23544
1508	23814	23530
1509	23828	23513
1510	23843	23496
1511	23859	23480
1512	23874	23464
1513	23890	23448
1514	23906	23432
1515	23920	23415
1516	23937	23401
1517	23952	23384
1518	23968	23369
1519	23983	23352
1520	23998	23335
1521	24013	23319
1522	24029	23303
1523	24046	23289
1524	24062	23273
1525	24076	23256
1526	24091	23239
1527	24107	23224
1528	24126	23211
1529	24141	23194
1530	24157	23179
1531	24173	23163
1532	24188	23146
1533	24205	23132
1534	24222	23117
1535	24237	23101
1536	24256	23088
1537	24273	23074
1538	24290	23059
1539	24305	23043
1540	24321	23027
1541	24335	23010
1542	24350	22993
1543	24365	22977
1544	24381	22961
1545	24394	22943
1546	24411	22928
1547	24429	22914
1548	24445	22899
1549	24462	22883
1550	24477	22867
1551	24491	22850
1552	24507	22834
1553	24523	22819
1554	24539	22803
1555	24555	22787
1556	24571	22772
1557	24585	22755
1558	24600	22738
1559	24614	22721
1560	24630	22705
1561	24645	22688
1562	24661	22673
1563	24676	22657
1564	24691	22640
1565	24707	22625
1566	24722	22608
1567	24737	22592
1568	24751	22574
1569	24768	22560
1570	24782	22542
1571	24796	22525
1572	24813	22510
1573	24828	22493
1574	24845	22479
1575	24861	22463
1576	24877	22448
1577	24892	22432
1578	24908	22416
1579	24924	22400
1580	24938	22383
1581	24954	22367
1582	24968	22349
1583	24982	22332
1584	24998	22316
1585	25010	22298
1586	25025	22282
1587	25041	22265
1588	25057	22250
1589	25072	22234
1590	25087	22217
1591	25103	22202
1592	25118	22185
1593	25133	22169
1594	25148	22152
1595	25164	22136
1596	25180	22121
1597	25194	22103
1598	25206	22085
1599	25223	22070
1600	25239	22054
1601	25255	22039
1602	25273	22025
1603	25289	22010
1604	25304	21993
1605	25320	21977
1606	25335	21961
1607	25349	21944
1608	25366	21929
1609	25382	21914
1610	25396	21896
1611	25409	21878
1612	25426	21864
1613	25442	21848
1614	25458	21832
1615	25473	21816
1616	25487	21799
1617	25503	21783
1618	25518	21766
1619	25531	21748
1620	25543	21730
1621	25560	21715
1622	25574	21698
1623	25590	21682
1624	25607	21667
1625	25622	21651
1626	25639	21636
1627	25653	21619
1628	25667	21602
1629	25683	21587
1630	25699	21571
1631	25715	21555
1632	25728	21537
1633	25745	21522
1634	25762	21507
1635	25778	21492
1636	25794	21476
1637	25810	21461
1638	25824	21444
1639	25839	21428
1640	25854	21411
1641	25868	21394
1642	25882	21376
1643	25899	21362
1644	25915	21346
1645	25932	21331
1646	25946	21314
1647	25960	21297
1648	25976	21282
1649	25992	21266
1650	26006	21249
1651	26022	21233
1652	26038	21217
1653	26051	21200
1654	26066	21184
1655	26081	21167
1656	26095	21150
1657	26111	21135
1658	26126	21118
1659	26140	21101
1660	26156	21085
1661	26169	21067
1662	26184	21051
1663	26198	21034
1664	26215	21019
1665	26233	21005
1666	26248	20988
1667	26262	20972
1668	26278	20956
