iter	RMSE
0	0.9753386821
1	0.960577054
2	0.9459166044
3	0.9318893423
4	0.9188139666
5	0.9058436883
6	0.892912082
7	0.8806679557
8	0.8682397908
9	0.8557758052
10	0.8440194967
11	0.8326186535
12	0.8214923054
13	0.8100315288
14	0.7988940641
15	0.7880466835
16	0.7770863061
17	0.7664007668
18	0.7553811284
19	0.7451971025
20	0.7348297934
21	0.7248747358
22	0.7151438275
23	0.7053289412
24	0.6957189576
25	0.6865317183
26	0.6768630981
27	0.668072671
28	0.6594336111
29	0.6509387588
30	0.643049507
31	0.6348586289
32	0.6264804323
33	0.6187110199
34	0.6107039255
35	0.6030419822
36	0.594984596
37	0.5875596067
38	0.5801642485
39	0.5729304206
40	0.5656001862
41	0.558667673
42	0.5516853469
43	0.5448568292
44	0.5383513496
45	0.5319924062
46	0.5259759788
47	0.5197264439
48	0.5133439203
49	0.5073299964
50	0.5014016834
51	0.4954677405
52	0.4897608819
53	0.4842496373
54	0.4783797018
55	0.4733205267
56	0.4679303702
57	0.4625783566
58	0.457367131
59	0.4522967815
60	0.4470913407
61	0.44168477
62	0.4367348979
63	0.4319742206
64	0.4271588683
65	0.422072605
66	0.417087168
67	0.4125654187
68	0.4081269483
69	0.4038588698
70	0.3993862011
71	0.3951851367
72	0.3908086693
73	0.3867898188
74	0.382856875
75	0.3787310259
76	0.3748631834
77	0.3707640726
78	0.3669514555
79	0.3632759738
80	0.3594884219
81	0.3559406526
82	0.3522476471
83	0.3486405925
84	0.3450511988
85	0.3414421282
86	0.3378572106
87	0.3346343532
88	0.3311938496
89	0.3278159638
90	0.3248287265
91	0.3216059803
92	0.3184590426
93	0.3154498611
94	0.3123507509
95	0.3091173074
96	0.3064715874
97	0.3036828557
98	0.3006970012
99	0.297830433
100	0.2951035654
101	0.2921277279
102	0.2894536355
103	0.2866439719
104	0.2839008922
105	0.2812337796
106	0.278717944
107	0.2761749734
108	0.2737802177
109	0.2711592796
110	0.2688761399
111	0.266628103
112	0.2643896402
113	0.262062927
114	0.2596459806
115	0.2575319509
116	0.255260292
117	0.2528754619
118	0.2506769552
119	0.2485658311
120	0.2462575576
121	0.2441230784
122	0.2420093442
123	0.2400066674
124	0.2378779596
125	0.235904187
126	0.233971149
127	0.2320627771
128	0.2298916314
129	0.2280535434
130	0.2262812216
